id,code,name,currency,color,usage,export,quality,size,weight,tickness,length,image
1,117516011131,11(PIPE 160 BURKAN( 3m,branch,سفید,فاضلابی,True,درجه 1,160.0,11,1.0,,image
2,117520015130,15(PIPE 200 BURKAN (3m,branch,سفید,فاضلابی,True,درجه 1,200.0,15,1.0,,
3,117505025134,2/5(PIPE 50 BURKAN (3m,branch,سفید,فاضلابی,True,درجه 1,50.0,2.5,1.0,,
4,117507535133,3/5(PIPE 75 BURKAN( 3m,branch,سفید,فاضلابی,True,درجه 1,75.0,3.5,1.0,,
5,117501106132,6(PIPE 110 BURKAN( 3m,branch,سفید,فاضلابی,True,درجه 1,110.0,6,1.0,,
6,117111014152,PIPE 110  ALSeef ECO TREE LAYERS 14,branch,سفید,فاضلابی,True,درجه 1,110.0,"6_x000d_
6_x000d_
6_x000d_
6",1.0,,
7,117611012129,PIPE 110 AL AHRAM THREE LAYERS 12,branch,سفید,فاضلابی,True,درجه 1,110.0,12,1.0,,
8,117111012099,PIPE 110 ALSEEF 12,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
9,111111012042,PIPE 110 ALSEEF 12 three Layers,branch,سفید,فاضلابی,True,درجه 1,110.0,12,1.0,,
10,117111012153,PIPE 110 ALSeeF ECO TREE LAYERS 12,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
11,117411010115,PIPE 110 Aseef 10,branch,سفید,فاضلابی,True,درجه 1,110.0,10,1.0,,
12,117411014114,PIPE 110 Aseef 14,branch,سفید,فاضلابی,True,درجه 1,110.0,14,1.0,,
13,117511010122,PIPE 110 BURKAN 10,branch,سفید,فاضلابی,True,درجه 1,110.0,10,1.0,,
14,117511012123,PIPE 110 BURKAN 12,branch,سفید,فاضلابی,True,درجه 1,110.0,12,1.0,,
15,117511015124,PIPE 110 BURKAN 15,branch,سفید,فاضلابی,True,درجه 1,110.0,15,1.0,,
16,116311012042,PIPE 110 Burkan12,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
17,116311015041,PIPE 110 Burkan15,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
18,111111014056,PIPE 110 cmthree Layers 14,branch,سفید,فاضلابی,True,درجه 1,110.0,14,1.0,,
19,111111010058,PIPE 110 cmtwo Layers 10,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
20,111111012057,PIPE 110 cmtwo Layers 12,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
21,116111010108,PIPE 110 DELUXE 10/2,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
22,116111010077,PIPE 110 DELUXE THREE LAYERS 10/200,branch,سفید,فاضلابی,True,درجه 1,110.0,10.2,1.0,,
23,116111012015,PIPE 110 DELUXE THREE LAYERS12,branch,سفید,فاضلابی,True,درجه 1,110.0,12,1.0,,
24,116411011008,PIPE 110 GOLDEN MAX 11,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
25,116411012058,PIPE 110 GOLDEN MAX 12,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
26,116411014034,PIPE 110 GOLDEN MAX 14,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
27,116411016033,PIPE 110 GOLDEN MAX 16/1,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
28,116411008045,PIPE 110 GOLDEN MAX 8.2,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
29,116411012111,PIPE 110 GOLDEN MAX THREE LAYERS 12,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
30,116411014090,PIPE 110 GOLDEN MAX THREE LAYERS 14,branch,سفید,فاضلابی,True,درجه 1,110.0,14,1.0,,
31,116411016097,PIPE 110 GOLDEN MAX THREE LAYERS 16,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
32,116411013031,PIPE 110 GOLDEN MAX13,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
33,116611015036,PIPE 110 inch TODAY 15,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
34,117611009037,PIPE 110 inch TODAY 9.5 Pushfit,branch,سفید,فاضلابی,True,درجه 1,110.0,,1.0,,
35,116211010060,PIPE 110 RUSNAY 10,branch,سفید,فاضلابی,True,درجه 1,110.0,10,1.0,,
36,116211014081,PIPE 110 RUSNAY 14,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
37,116211015047,PIPE 110 RUSNAY 15,شاخه,سفید,فاضلابی,True,درجه 2,1.0,15,1.0,6.0,
38,117211010051,PIPE 110 RUSNAY 9.8 push fit,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
39,116611012019,PIPE 110 Today12,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
40,117311013104,PIPE 110 النابیب العقبه الاردنی 13,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
41,117116021080,PIPE 160 ALSEEF 21,branch,سفید,فاضلابی,True,درجه 1,160.0,1,1.0,,
42,117516017144,PIPE 160 BURKAN 17,branch,سفید,فاضلابی,True,درجه 1,160.0,,1.0,,
43,116316021040,PIPE 160 Burkan21,branch,سفید,فاضلابی,True,درجه 1,160.0,1,1.0,,
44,116116016089,PIPE 160 DELUXE THREE LAYERS 16,branch,سفید,فاضلابی,True,درجه 1,160.0,1,1.0,,
45,116116020088,PIPE 160 DELUXE THREE LAYERS 20,branch,سفید,فاضلابی,True,درجه 1,160.0,1,1.0,,
46,116416013029,PIPE 160 GOLDEN MAX 13,branch,سفید,فاضلابی,True,درجه 1,160.0,1,1.0,,
47,116416018032,PIPE 160 GOLDEN MAX 18,branch,سفید,فاضلابی,True,درجه 1,160.0,1,1.0,,
48,116416027030,PIPE 160 GOLDEN MAX 27,branch,سفید,فاضلابی,True,درجه 1,160.0,1,1.0,,
49,116416020093,PIPE 160 GOLDEN MAX THREE LAYERS 20,branch,سفید,فاضلابی,True,درجه 1,160.0,20,1.0,,
50,106416018138,PIPE 160 GOLDENMAX 18/8,branch,سفید,فاضلابی,True,درجه 1,160.0,18.8,1.0,,
51,106416021135,PIPE 160 GOLDENMAX 21,branch,سفید,فاضلابی,True,درجه 1,160.0,21,1.0,,
52,116616015035,PIPE 160 inch TODAY 15,branch,سفید,فاضلابی,True,درجه 1,160.0,1,1.0,,
53,116216015046,PIPE 160 RUSNAY 15,branch,سفید,فاضلابی,True,درجه 1,160.0,1,1.0,,
54,116216017059,PIPE 160 RUSNAY 17,branch,سفید,فاضلابی,True,درجه 1,160.0,1,1.0,,
55,116216021065,PIPE 160 RUSNAY 21,branch,سفید,فاضلابی,True,درجه 1,160.0,21,1.0,,
56,116220024143,PIPE 200  RUSNAY 24,branch,سفید,فاضلابی,True,درجه 1,200.0,1,1.0,,
57,116220017096,PIPE 200 RUSNAY 17,branch,سفید,فاضلابی,True,درجه 1,200.0,1,1.0,,
58,116220022009,PIPE 200 RUSNAY 22,branch,سفید,فاضلابی,True,درجه 1,200.0,1,1.0,,
59,116220023067,PIPE 200 RUSNAY 23,branch,سفید,فاضلابی,True,درجه 1,200.0,1,1.0,,
60,116220027095,PIPE 200 RUSNAY 27,branch,سفید,فاضلابی,True,درجه 1,200.0,1,1.0,,
61,117002556076,PIPE 25 (اتحاد الاردنی ) 56/.,branch,سفید,فاضلابی,True,درجه 1,25.0,1,1.0,,
62,117202558094,PIPE 25 AMWAG AL  DHWA 0/580,branch,سفید,فاضلابی,True,درجه 1,25.0,1,1.0,,
63,116902558066,pipe 25 GEPCO/58,branch,سفید,فاضلابی,True,درجه 1,25.0,1,1.0,,
64,117302558106,PIPE 25 النابیب العقبه الاردنی 0/580,branch,سفید,فاضلابی,True,درجه 1,25.0,1,1.0,,
65,117102518112,PIPE 25*1/8 ALSEEF  0/580,branch,سفید,فاضلابی,True,درجه 1,25.0,1,1.0,,
66,116103217032,PIPE 32 DELUXE 1.7,branch,سفید,فاضلابی,True,درجه 1,32.0,1.7,1.0,,
67,116132170113,PIPE 32 DELUXE 1/700,branch,سفید,فاضلابی,True,درجه 1,32.0,1.7,1.0,,
68,116132175079,PIPE 32 DELUXE 1/750,branch,سفید,فاضلابی,True,درجه 1,32.0,1,1.0,,
69,116103227033,PIPE 32 DELUXE 2.7,branch,سفید,فاضلابی,True,درجه 1,32.0,1,1.0,,
70,116416020092,PIPE 32 DELUXE 2/600,branch,سفید,فاضلابی,True,درجه 1,32.0,1,1.0,,
71,116103228128,PIPE 32 DELUXE 2/8,branch,سفید,فاضلابی,True,درجه 1,32.0,2.8,1.0,,
72,111100505044,PIPE 50 ALSEEF 5,branch,سفید,فاضلابی,True,درجه 1,50.0,5,1.0,,
73,117405024119,PIPE 50 Aseef 2/5,branch,سفید,فاضلابی,True,درجه 1,50.0,2.5,1.0,,
74,117405036118,PIPE 50 Aseef 3/6,branch,سفید,فاضلابی,True,درجه 1,50.0,3.6,1.0,,
75,116305004057,PIPE 50 Burkan 4,branch,سفید,فاضلابی,True,درجه 1,50.0,1,1.0,,
76,116305045146,PIPE 50 BURKAN 4/5,branch,سفید,فاضلابی,True,درجه 1,50.0,1,1.0,,
77,116305004044,PIPE 50 Burkan4,branch,سفید,فاضلابی,True,درجه 1,50.0,1,1.0,,
78,111100504061,PIPE 50 cm 4,branch,سفید,فاضلابی,True,درجه 1,50.0,4,1.0,,
79,116100505075,PIPE 50 DELUXE 5,branch,سفید,فاضلابی,True,درجه 1,50.0,1,1.0,,
80,116405045110,PIPE 50 GOLDEN MAX 4/5,branch,سفید,فاضلابی,True,درجه 1,50.0,4.5,1.0,,
81,116705004019,PIPE 50 ROLEX 4,branch,سفید,فاضلابی,True,درجه 1,50.0,1,1.0,,
82,116205006050,PIPE 50 RUSNAY 4,branch,سفید,فاضلابی,True,درجه 1,50.0,4,1.0,,
83,116200050150,PIPE 50 RUSNAY 5,branch,سفید,فاضلابی,True,درجه 1,50.0,1,1.0,,
84,117750290147,PIPE 50 SADEH 2/9 M - 1/450K,branch,سفید,فاضلابی,True,درجه 1,50.0,1,1.0,,
85,116605003021,PIPE 50 Today3,branch,سفید,فاضلابی,True,درجه 1,50.0,1,1.0,,
86,117600075142,PIPE 75 AL AHRAM THREE LAYERS 7,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
87,117100756100,PIPE 75 ALSEEF 6,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
88,111100756043,PIPE 75 ALSEEF 6 three Layers,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
89,117107507137,PIPE 75 ALSEYF THREE LAYERS 7K,branch,سفید,فاضلابی,True,درجه 1,75.0,7,1.0,,
90,117400754117,PIPE 75 Aseef 4,branch,سفید,فاضلابی,True,درجه 1,75.0,4,1.0,,
91,117400756116,PIPE 75 Aseef 6,branch,سفید,فاضلابی,True,درجه 1,75.0,6,1.0,,
92,116307555145,PIPE 75 BURKAN 5/5,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
93,117500757121,PIPE 75 BURKAN 7,branch,سفید,فاضلابی,True,درجه 1,75.0,7,1.0,,
94,116307506056,PIPE 75 Burkan6,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
95,111100075059,PIPE 75 cmthree Layers 6,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
96,111100075060,PIPE 75 cmtwo Layers 6,branch,سفید,فاضلابی,True,درجه 1,75.0,6,1.0,,
97,116100756074,PIPE 75 DELUXE 6,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
98,116100755078,PIPE 75 DELUXE THREE LAYERS 5,branch,سفید,فاضلابی,True,درجه 1,75.0,5,1.0,,
99,116107555031,PIPE 75 DELUXE THREE LAYERS 5.5,branch,سفید,فاضلابی,True,درجه 1,75.0,5.5,1.0,,
100,116100006082,PIPE 75 DELUXE THREE LAYERS 6,branch,سفید,فاضلابی,True,درجه 1,75.0,6,1.0,,
101,116407505039,PIPE 75 GOLDEN MAX 5.3,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
102,116402556073,PIPE 75 GOLDEN MAX 6,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
103,116407555098,PIPE 75 GOLDEN MAX THREE LAYERS 5/5,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
104,116400756091,PIPE 75 GOLDEN MAX THREE LAYERS 6,branch,سفید,فاضلابی,True,درجه 1,75.0,6,1.0,,
105,117607505038,PIPE 75 inch TODAY5.5 Pushfit,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
106,116807506027,PIPE 75 NOUR SHARIT 6,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
107,116807507026,PIPE 75 NOUR SHARIT 7,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
108,116807506028,PIPE 75 NOUR SHARIT PUSH FIT6,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
109,116707555017,PIPE 75 ROLEX 5/5,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
110,116207506049,PIPE 75 RUSNAY 6,branch,سفید,فاضلابی,True,درجه 1,75.0,6,1.0,,
111,117207511109,PIPE 75 RUSNAY PUSHFIT 1,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
112,116207506136,PIPE 75 rusnay three layers 6k,branch,سفید,فاضلابی,True,درجه 1,75.0,6,1.0,,
113,116607506020,PIPE 75 Today6,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
114,117300756105,PIPE 75 النابیب العقبه الاردنی 6,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
115,117207506052,PIPE 75RUSNAY 6 push fit,branch,سفید,فاضلابی,True,درجه 1,75.0,1,1.0,,
116,111100906055,PIPE 90 RUSNAY 6,branch,سفید,فاضلابی,True,درجه 1,90.0,1,1.0,,
117,116200909068,PIPE 90 RUSNAY 9,branch,سفید,فاضلابی,True,درجه 1,90.0,1,1.0,,
118,116511011002,PIPE A BANA 110*11.2,branch,سفید,فاضلابی,True,درجه 1,110.0,1,1.0,,
119,116503202006,PIPE A BANA 32*1.75,branch,سفید,فاضلابی,True,درجه 1,32.0,1,1.0,,
120,116505004005,PIPE A BANA 50*4.5,branch,سفید,فاضلابی,True,درجه 1,50.0,1,1.0,,
